condition,epoch,mean,std,min,max,n,source
Grasp pose prior,27,0.0109375,0.015473971015602273,0.0,0.03369140625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,28,0.01005859375,0.013235934871546782,0.0,0.0283203125,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,29,0.01171875,0.018857394059890155,0.0,0.04443359375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,30,0.0361328125,0.07018268044858882,0.0,0.1611328125,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,31,0.021484375,0.03792282781044453,0.0,0.0888671875,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,32,0.034765625,0.04884692021074315,0.0,0.111328125,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,33,0.0392578125,0.05368274295501597,0.0,0.11962890625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,34,0.04052734375,0.050375860845816134,0.0,0.10400390625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,35,0.04697265625,0.05527227285930705,0.0,0.12158203125,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,36,0.05703125,0.06595720042036715,0.0,0.1474609375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,37,0.04599609375,0.0580299206870584,0.0,0.142578125,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,38,0.05126953125,0.061419687135595806,0.0,0.1376953125,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,39,0.07578125,0.07970314620256469,0.0,0.173828125,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,40,0.09697265625,0.08803603964529653,0.0,0.19287109375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,41,0.1349609375,0.08961630517556675,0.0,0.23828125,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,42,0.15458984375,0.10896201502534628,0.0,0.244140625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,43,0.17431640625,0.13011343994973848,0.0,0.28857421875,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,44,0.1892578125,0.13462339995698744,0.0009765625,0.29931640625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,45,0.20224609375,0.1372519422994736,0.00048828125,0.32421875,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,46,0.2240234375,0.15196823398032602,0.0,0.37841796875,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,47,0.2185546875,0.14480177846311676,0.00048828125,0.3525390625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,48,0.29599609375,0.18709469540536985,0.0009765625,0.4423828125,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,49,0.33154296875,0.18856825105458802,0.005859375,0.455078125,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,50,0.35283203125,0.20012461832976297,0.013671875,0.4853515625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,51,0.3810546875,0.1962060249772308,0.05224609375,0.54541015625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,52,0.4064453125,0.20966821891723547,0.05126953125,0.58251953125,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,53,0.42099609375,0.22315692491566866,0.044921875,0.61865234375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,54,0.439453125,0.23160055241691843,0.0498046875,0.666015625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,55,0.46005859375,0.21603269871706465,0.091796875,0.658203125,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,56,0.48583984375,0.22326710212363585,0.11181640625,0.7060546875,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,57,0.46455078125,0.2235204689330341,0.11328125,0.68505859375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,58,0.5373046875,0.2386620652200975,0.13330078125,0.74853515625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,59,0.56953125,0.17501412743356054,0.27197265625,0.7236328125,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,60,0.5650390625,0.19280321689312122,0.2392578125,0.7412109375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,61,0.57880859375,0.18384181369278596,0.2666015625,0.72607421875,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,62,0.590234375,0.18449388970488953,0.2744140625,0.71826171875,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,63,0.60380859375,0.173089539239248,0.30908203125,0.7373046875,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,64,0.6123046875,0.1611779352066695,0.34130859375,0.74365234375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,65,0.622265625,0.17040476968116336,0.326171875,0.7373046875,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,66,0.5203125,0.17471587412989592,0.22314453125,0.67333984375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,67,0.6392578125,0.22316066424858816,0.244140625,0.77294921875,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,68,0.65986328125,0.14731235723929595,0.39892578125,0.75390625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,69,0.67021484375,0.14092248604051227,0.42138671875,0.7685546875,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,70,0.666015625,0.14137491964511628,0.41845703125,0.76416015625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,71,0.683984375,0.1240476569609832,0.4658203125,0.75634765625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,72,0.69873046875,0.10340904651225506,0.51806640625,0.77490234375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,73,0.7080078125,0.09191886425647987,0.54931640625,0.771484375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,74,0.717578125,0.08601694769539617,0.5703125,0.78466796875,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,75,0.58515625,0.12518468564736615,0.38037109375,0.68603515625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,76,0.7029296875,0.16447056476244862,0.4130859375,0.82080078125,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,77,0.73955078125,0.06415335562560155,0.63037109375,0.80078125,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,78,0.73857421875,0.07686095939130766,0.61279296875,0.822265625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,79,0.74482421875,0.05964990520357848,0.6474609375,0.806640625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,80,0.750390625,0.06154416658476084,0.6513671875,0.81494140625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,81,0.7541015625,0.06258824794010776,0.64892578125,0.81640625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,82,0.7525390625,0.05921041867876587,0.65234375,0.80029296875,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,83,0.76181640625,0.0512001949306592,0.6748046875,0.8037109375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,84,0.76201171875,0.065227686373511,0.65087890625,0.81884765625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,85,0.69794921875,0.1388997529337301,0.50244140625,0.8232421875,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,86,0.7921875,0.04802885880781832,0.71337890625,0.83984375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,87,0.78134765625,0.05437752202641638,0.6982421875,0.8330078125,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,88,0.78056640625,0.043719035498755075,0.71044921875,0.82958984375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,89,0.78056640625,0.03152837740588856,0.7353515625,0.81787109375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,90,0.79609375,0.03599000495336127,0.7353515625,0.828125,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
