method,run,seed,tag,final_epoch,final_value,last20_mean,best_value
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed2_20260612_1042,2,Episode/cube_approach_reward,589,1.1027079820632935,1.098879075050354,1.1060715913772583
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed2_20260612_1042,2,Episode/cube_close_action_reward,589,0.002255176892504096,0.002582507918123156,0.28756844997406006
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed2_20260612_1042,2,Episode/cube_descend_action_penalty,589,-0.00046218259376473725,-0.0005094310545246117,-0.0002956533571705222
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed2_20260612_1042,2,Episode/cube_enclosure_reward,589,0.611134946346283,0.6095161110162735,0.6140920519828796
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed2_20260612_1042,2,Episode/cube_gripper_close_reg,589,-0.00123408657964319,-0.0012378548039123417,-1.2708531357930042e-05
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed2_20260612_1042,2,Episode/cube_height_tracking_reward,589,1.2511544227600098,1.2557600259780883,1.3325448036193848
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed2_20260612_1042,2,Episode/cube_lift_action_reward,589,0.004017039202153683,0.005238523485604674,0.46613460779190063
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed2_20260612_1042,2,Episode/cube_lift_reward,589,6.059110641479492,5.956121015548706,6.148418426513672
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed2_20260612_1042,2,Episode/cube_success_bonus,589,12.547645568847656,12.32252311706543,12.765426635742188
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed2_20260612_1042,2,Episode/cube_table_clearance_penalty,589,0.0,0.0,0.0
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed2_20260612_1042,2,Episode/cube_traj_tracking_action_alignment_reward,589,0.0,0.0,0.0
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed2_20260612_1042,2,Episode/cube_traj_tracking_close_action_reward,589,0.15056149661540985,0.11435519009828568,1.3968594074249268
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed2_20260612_1042,2,Episode/cube_traj_tracking_gripper_reward,589,0.027393173426389694,0.0339495463296771,0.10604552924633026
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed2_20260612_1042,2,Episode/cube_traj_tracking_lift_action_reward,589,0.6781576871871948,0.49812653213739394,1.152829885482788
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed2_20260612_1042,2,Episode/cube_traj_tracking_orientation_reward,589,0.005916130263358355,0.006923809926956892,0.028461432084441185
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed2_20260612_1042,2,Episode/cube_traj_tracking_position_reward,589,0.11176341772079468,0.11464309096336364,0.6098824739456177
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed2_20260612_1042,2,Episode/cube_traj_tracking_reward,589,0.9737918972969055,0.7679981648921966,2.667790651321411
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed2_20260612_1042,2,Episode/cube_xy_stability_reward,589,0.44301801919937134,0.45223700553178786,0.9286549687385559
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed3_20260612_1042,3,Episode/cube_action_penalty,571,-0.0015078216092661023,-0.001529597124317661,-0.001438414677977562
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed3_20260612_1042,3,Episode/cube_approach_reward,571,1.0404502153396606,1.032836812734604,1.0417633056640625
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed3_20260612_1042,3,Episode/cube_close_action_reward,571,0.006882030516862869,0.007933699223212898,0.2909667491912842
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed3_20260612_1042,3,Episode/cube_descend_action_penalty,571,-0.004051527939736843,-0.005193035607226193,-0.003731665899977088
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed3_20260612_1042,3,Episode/cube_enclosure_reward,571,0.5877550840377808,0.5839399129152298,0.5887221097946167
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed3_20260612_1042,3,Episode/cube_gripper_close_reg,571,-0.0014564956072717905,-0.0014625780284404754,-1.3244998626760207e-05
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed3_20260612_1042,3,Episode/cube_height_tracking_reward,571,1.2092535495758057,1.1335189819335938,1.2230803966522217
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed3_20260612_1042,3,Episode/cube_lift_action_reward,571,0.00274129630997777,0.0039022535900585355,0.4582846760749817
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed3_20260612_1042,3,Episode/cube_lift_reward,571,5.577003479003906,5.403662109375,5.59837532043457
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed3_20260612_1042,3,Episode/cube_success_bonus,571,10.964126586914062,9.677078247070312,10.964126586914062
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed3_20260612_1042,3,Episode/cube_table_clearance_penalty,571,0.0,0.0,0.0
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed3_20260612_1042,3,Episode/cube_traj_tracking_action_alignment_reward,571,0.0,0.0,0.0
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed3_20260612_1042,3,Episode/cube_traj_tracking_close_action_reward,571,0.259615957736969,0.1824500396847725,1.4339730739593506
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed3_20260612_1042,3,Episode/cube_traj_tracking_gripper_reward,571,0.025953810662031174,0.035908935219049455,0.08707219362258911
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed3_20260612_1042,3,Episode/cube_traj_tracking_lift_action_reward,571,0.21891552209854126,0.16134723462164402,1.1927154064178467
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed3_20260612_1042,3,Episode/cube_traj_tracking_orientation_reward,571,0.003940525930374861,0.0062582824262790385,0.06270759552717209
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed3_20260612_1042,3,Episode/cube_traj_tracking_position_reward,571,0.08272156119346619,0.09791858196258545,0.7045674324035645
